Date,Close
9/29/2023,171.21
9/28/2023,170.69
9/27/2023,170.43
9/26/2023,171.96
9/25/2023,176.08
9/24/2023,
9/23/2023,
9/22/2023,174.79
9/21/2023,173.93
9/20/2023,175.49
9/19/2023,179.07
9/18/2023,177.97
9/17/2023,
9/16/2023,
9/15/2023,175.01
9/14/2023,175.74
9/13/2023,174.21
9/12/2023,176.3
9/11/2023,179.36
9/10/2023,
9/9/2023,
9/8/2023,178.18
9/7/2023,177.56
9/6/2023,182.91
9/5/2023,189.7
9/4/2023,
9/3/2023,
9/2/2023,
9/1/2023,189.46
8/31/2023,187.87
8/30/2023,187.65
8/29/2023,184.12
8/28/2023,180.19
8/27/2023,
8/26/2023,
8/25/2023,178.61
8/24/2023,176.38
8/23/2023,181.12
8/22/2023,177.23
8/21/2023,175.84
8/20/2023,
8/19/2023,
8/18/2023,174.49
8/17/2023,174
8/16/2023,176.57
8/15/2023,177.45
8/14/2023,179.46
8/13/2023,
8/12/2023,
8/11/2023,177.79
8/10/2023,177.97
8/9/2023,178.19
8/8/2023,179.8
8/7/2023,178.85
8/6/2023,
8/5/2023,
8/4/2023,181.99
8/3/2023,191.17
8/2/2023,192.58
8/1/2023,195.605
7/31/2023,196.45
7/30/2023,
7/29/2023,
7/28/2023,195.83
7/27/2023,193.22
7/26/2023,194.5
7/25/2023,193.62
7/24/2023,192.75
7/23/2023,
7/22/2023,
7/21/2023,191.94
7/20/2023,193.13
7/19/2023,195.1
7/18/2023,193.73
7/17/2023,193.99
7/16/2023,
7/15/2023,
7/14/2023,190.69
7/13/2023,190.54
7/12/2023,189.77
7/11/2023,188.08
7/10/2023,188.61
7/9/2023,
7/8/2023,
7/7/2023,190.68
7/6/2023,191.81
7/5/2023,191.33
7/4/2023,
7/3/2023,192.46
7/2/2023,
7/1/2023,
6/30/2023,193.97
6/29/2023,189.59
6/28/2023,189.25
6/27/2023,188.06
6/26/2023,185.27
6/25/2023,
6/24/2023,
6/23/2023,186.68
6/22/2023,187
6/21/2023,183.96
6/20/2023,185.01
6/19/2023,
6/18/2023,
6/17/2023,
6/16/2023,184.92
6/15/2023,186.01
6/14/2023,183.95
6/13/2023,183.31
6/12/2023,183.79
6/11/2023,
6/10/2023,
6/9/2023,180.96
6/8/2023,180.57
6/7/2023,177.82
6/6/2023,179.21
6/5/2023,179.58
6/4/2023,
6/3/2023,
6/2/2023,180.95
6/1/2023,180.09
5/31/2023,177.25
5/30/2023,177.3
5/29/2023,
5/28/2023,
5/27/2023,
5/26/2023,175.43
5/25/2023,172.99
5/24/2023,171.84
5/23/2023,171.56
5/22/2023,174.2
5/21/2023,
5/20/2023,
5/19/2023,175.16
5/18/2023,175.05
5/17/2023,172.69
5/16/2023,172.07
5/15/2023,172.07
5/14/2023,
5/13/2023,
5/12/2023,172.57
5/11/2023,173.75
5/10/2023,173.555
5/9/2023,171.77
5/8/2023,173.5
5/7/2023,
5/6/2023,
5/5/2023,173.57
5/4/2023,165.79
5/3/2023,167.45
5/2/2023,168.54
5/1/2023,169.59
4/30/2023,
4/29/2023,
4/28/2023,169.68
4/27/2023,168.41
4/26/2023,163.76
4/25/2023,163.77
4/24/2023,165.33
4/23/2023,
4/22/2023,
4/21/2023,165.02
4/20/2023,166.65
4/19/2023,167.63
4/18/2023,166.47
4/17/2023,165.23
4/16/2023,
4/15/2023,
4/14/2023,165.21
4/13/2023,165.56
4/12/2023,160.1
4/11/2023,160.8
4/10/2023,162.03
4/9/2023,
4/8/2023,
4/7/2023,
4/6/2023,164.66
4/5/2023,163.76
4/4/2023,165.63
4/3/2023,166.17
4/2/2023,
4/1/2023,
3/31/2023,164.9
3/30/2023,162.36
3/29/2023,160.77
3/28/2023,157.65
3/27/2023,158.28
3/26/2023,
3/25/2023,
3/24/2023,160.25
3/23/2023,158.93
3/22/2023,157.83
3/21/2023,159.28
3/20/2023,157.4
3/19/2023,
3/18/2023,
3/17/2023,155
3/16/2023,155.85
3/15/2023,152.99
3/14/2023,152.59
3/13/2023,150.47
3/12/2023,
3/11/2023,
3/10/2023,148.5
3/9/2023,150.59
3/8/2023,152.87
3/7/2023,151.6
3/6/2023,153.83
3/5/2023,
3/4/2023,
3/3/2023,151.03
3/2/2023,145.91
3/1/2023,145.31
2/28/2023,147.41
2/27/2023,147.92
2/26/2023,
2/25/2023,
2/24/2023,146.71
2/23/2023,149.4
2/22/2023,148.91
2/21/2023,148.48
2/20/2023,
2/19/2023,
2/18/2023,
2/17/2023,152.55
2/16/2023,153.71
2/15/2023,155.33
2/14/2023,153.2
2/13/2023,153.85
2/12/2023,
2/11/2023,
2/10/2023,151.01
2/9/2023,150.87
2/8/2023,151.92
2/7/2023,154.65
2/6/2023,151.73
2/5/2023,
2/4/2023,
2/3/2023,154.5
2/2/2023,150.82
2/1/2023,145.43
1/31/2023,144.29
1/30/2023,143
1/29/2023,
1/28/2023,
1/27/2023,145.93
1/26/2023,143.96
1/25/2023,141.86
1/24/2023,142.53
1/23/2023,141.11
1/22/2023,
1/21/2023,
1/20/2023,137.87
1/19/2023,135.27
1/18/2023,135.21
1/17/2023,135.94
1/16/2023,
1/15/2023,
1/14/2023,
1/13/2023,134.76
1/12/2023,133.41
1/11/2023,133.49
1/10/2023,130.73
1/9/2023,130.15
1/8/2023,
1/7/2023,
1/6/2023,129.62
1/5/2023,125.02
1/4/2023,126.36
1/3/2023,125.07
1/2/2023,
1/1/2023,
12/31/2022,
12/30/2022,129.93
12/29/2022,129.61
12/28/2022,126.04
12/27/2022,130.03
12/26/2022,
12/25/2022,
12/24/2022,
12/23/2022,131.86
12/22/2022,132.23
12/21/2022,135.45
12/20/2022,132.3
12/19/2022,132.37
12/18/2022,
12/17/2022,
12/16/2022,134.51
12/15/2022,136.5
12/14/2022,143.21
12/13/2022,145.47
12/12/2022,144.49
12/11/2022,
12/10/2022,
12/9/2022,142.16
12/8/2022,142.65
12/7/2022,140.94
12/6/2022,142.91
12/5/2022,146.63
12/4/2022,
12/3/2022,
12/2/2022,147.81
12/1/2022,148.31
11/30/2022,148.03
11/29/2022,141.17
11/28/2022,144.22
11/27/2022,
11/26/2022,
11/25/2022,148.11
11/24/2022,
11/23/2022,151.07
11/22/2022,150.18
11/21/2022,148.01
11/20/2022,
11/19/2022,
11/18/2022,151.29
11/17/2022,150.72
11/16/2022,148.79
11/15/2022,150.04
11/14/2022,148.28
11/13/2022,
11/12/2022,
11/11/2022,149.7
11/10/2022,146.87
11/9/2022,134.87
11/8/2022,139.5
11/7/2022,138.92
11/6/2022,
11/5/2022,
11/4/2022,138.38
11/3/2022,138.88
11/2/2022,145.03
11/1/2022,150.65
10/31/2022,153.34
10/30/2022,
10/29/2022,
10/28/2022,155.74
10/27/2022,144.8
10/26/2022,149.35
10/25/2022,152.34
10/24/2022,149.45
10/23/2022,
10/22/2022,
10/21/2022,147.27
10/20/2022,143.39
10/19/2022,143.86
10/18/2022,143.75
10/17/2022,142.41
10/16/2022,
10/15/2022,
10/14/2022,138.38
10/13/2022,142.99
10/12/2022,138.34
10/11/2022,138.98
10/10/2022,140.42
10/9/2022,
10/8/2022,
10/7/2022,140.09
10/6/2022,145.43
10/5/2022,146.4
10/4/2022,146.1
10/3/2022,142.45
10/2/2022,
10/1/2022,
9/30/2022,138.2
9/29/2022,142.48
9/28/2022,149.84
9/27/2022,151.76
9/26/2022,150.77
9/25/2022,
9/24/2022,
9/23/2022,150.43
9/22/2022,152.74
